run_dir,repo,run_id,file_count,text_file_count,total_size,avg_file_size,kw_total,kw_count_137,kw_count_killed,kw_count_oom,kw_count_out of memory,kw_count_memory limit,kw_count_no memory
facebook_react-native_20103952845,facebook_react-native,20103952845,116,116,350592324,3022347.620689655,3755,3497,2,256,0,0,0
facebook_react-native_20104603951,facebook_react-native,20104603951,2,2,201086,100543.0,25,25,0,0,0,0,0
facebook_react-native_20104604693,facebook_react-native,20104604693,114,114,350629555,3075697.850877193,3869,3611,2,256,0,0,0
facebook_react-native_20105072578,facebook_react-native,20105072578,2,2,199654,99827.0,24,24,0,0,0,0,0
facebook_react-native_20105072602,facebook_react-native,20105072602,114,114,351062505,3079495.6578947366,3763,3505,2,256,0,0,0
facebook_react-native_20105422054,facebook_react-native,20105422054,2,2,197457,98728.5,20,20,0,0,0,0,0
facebook_react-native_20105422889,facebook_react-native,20105422889,114,114,350493652,3074505.7192982454,3803,3545,2,256,0,0,0
facebook_react-native_20105589301,facebook_react-native,20105589301,2,2,200128,100064.0,19,19,0,0,0,0,0
facebook_react-native_20105888728,facebook_react-native,20105888728,2,2,196908,98454.0,18,18,0,0,0,0,0
facebook_react-native_20105888935,facebook_react-native,20105888935,114,114,348697312,3058748.350877193,3682,3424,2,256,0,0,0
facebook_react-native_20106026616,facebook_react-native,20106026616,6,6,143331,23888.5,9,9,0,0,0,0,0
facebook_react-native_20106475670,facebook_react-native,20106475670,116,116,446705569,3850910.077586207,4218,3960,2,256,0,0,0
facebook_react-native_20106553897,facebook_react-native,20106553897,2,2,198104,99052.0,24,24,0,0,0,0,0
facebook_react-native_20106554138,facebook_react-native,20106554138,114,114,420436345,3688038.1140350876,4246,3988,2,256,0,0,0
facebook_react-native_20107834167,facebook_react-native,20107834167,2,2,198717,99358.5,15,15,0,0,0,0,0
facebook_react-native_20107834878,facebook_react-native,20107834878,110,110,446195471,4056322.463636364,4442,4184,2,256,0,0,0
facebook_react-native_20108998895,facebook_react-native,20108998895,12,12,54606370,4550530.833333333,499,498,1,0,0,0,0
facebook_react-native_20109259635,facebook_react-native,20109259635,2,2,196208,98104.0,31,31,0,0,0,0,0
facebook_react-native_20109259764,facebook_react-native,20109259764,134,134,390054953,2910857.8582089553,4464,4193,0,271,0,0,0
facebook_react-native_20109269461,facebook_react-native,20109269461,2,2,195990,97995.0,21,21,0,0,0,0,0
facebook_react-native_20109851874,facebook_react-native,20109851874,116,116,446437110,3848595.775862069,4399,4141,2,256,0,0,0
facebook_react-native_20111030034,facebook_react-native,20111030034,108,108,204317966,1891833.0185185184,2405,2186,2,217,0,0,0
facebook_react-native_20111052214,facebook_react-native,20111052214,2,2,197125,98562.5,16,16,0,0,0,0,0
facebook_react-native_20111052810,facebook_react-native,20111052810,114,114,445913622,3911523.0,4318,4060,2,256,0,0,0
facebook_react-native_20113353118,facebook_react-native,20113353118,6,6,214922,35820.333333333336,11,11,0,0,0,0,0
facebook_react-native_20113725626,facebook_react-native,20113725626,2,2,201147,100573.5,25,25,0,0,0,0,0
facebook_react-native_20121508537,facebook_react-native,20121508537,2,2,199129,99564.5,18,18,0,0,0,0,0
facebook_react-native_20121508592,facebook_react-native,20121508592,114,114,446890759,3920094.3771929825,4404,4147,1,256,0,0,0
facebook_react-native_20121952228,facebook_react-native,20121952228,10,10,831303,83130.3,27,27,0,0,0,0,0
facebook_react-native_20127477052,facebook_react-native,20127477052,2,2,197375,98687.5,19,19,0,0,0,0,0
facebook_react-native_20127477914,facebook_react-native,20127477914,114,114,443723817,3892314.1842105263,4397,4139,2,256,0,0,0
facebook_react-native_20127527852,facebook_react-native,20127527852,2,2,199566,99783.0,24,24,0,0,0,0,0
facebook_react-native_20127528586,facebook_react-native,20127528586,114,114,446443345,3916169.692982456,4316,4058,2,256,0,0,0
